	tSNE1	tSNE2
1001200614_D9	-0.91850877	-1.724241
1001200614_E10	-13.322602	-6.173778
1001200614_E11	6.3676353	-11.76482
1001200614_E12	21.743181	-9.077653
1001200614_E2	-6.7796474	-0.6319665
1001200614_E3	-18.629478	-2.5785966
1001200614_E5	-6.439237	2.738948
1001200614_E6	-0.97930646	23.227798
1001200614_E8	-30.549753	34.46186
1001200614_E9	-1.4937577	-2.7951345
1001200614_F11	6.2475367	-14.048395
1001200614_F12	1.1841601	-10.644065
1001200614_F2	-3.5426168	-8.042346
1001200614_F3	4.93162	-12.781808
1001200614_F5	-23.604265	-6.3108354
1001200614_F6	-28.600306	48.032444
1001200614_F7	-24.186943	41.73027
1001200614_F8	-35.517693	41.871246
1001200614_F9	-12.013313	3.232322
1001200614_G1	-5.605945	0.7793524
1001200614_G11	-30.85983	41.26247
1001200614_G2	-5.6414595	1.15399
1001200614_G3	-27.694881	-6.7471676
1001200614_G5	-21.376858	-1.4010215
1001200614_G6	-2.7472243	27.306652
1001200614_G8	-18.672922	34.169647
1001200614_G9	6.1619544	-13.182715
1001200614_H1	-48.181877	27.471647
1001200614_H10	3.2090778	-7.7957253
1001200614_H2	-21.25096	-2.2511654
1001200614_H3	-10.464941	-1.5617623
1001200614_H6	-36.327892	46.50537
1001200614_H8	-31.491869	34.721745
1001200614_H9	-1.5209807	-9.547456
1001200615_A1	-10.149639	-10.261187
1001200615_A3	26.66715	-25.072979
1001200615_A4	32.14239	-18.51904
1001200615_B1	5.083536	-15.150295
1001200615_B3	22.563469	-2.0885787
1001200615_B4	35.054264	-32.603943
1001200615_B5	-34.22829	42.359825
1001200615_C1	-3.6941319	-3.2027113
1001200615_C3	-37.414566	42.696255
1001200615_C4	-30.332586	29.303955
1001200615_C5	37.621353	-25.167837
1001200615_D3	-33.12052	44.697647
1001200615_D4	32.15531	-19.638365
1001200615_D5	24.313745	-21.830988
1001200615_E1	-3.2568026	-1.2714107
1001200615_E2	35.832848	-30.503633
1001200615_E3	31.010334	-26.87827
1001200615_E4	31.084183	-14.85848
1001200615_E5	24.14065	-30.251661
1001200615_F1	-3.4604933	-1.5507624
1001200615_F2	33.238102	-33.006565
1001200615_F3	38.054314	-29.41673
1001200615_F5	40.78837	-8.082175
1001200615_G1	-20.585443	32.659363
1001200615_G3	36.369034	-21.6095
1001200615_G4	33.191597	-33.518536
1001200615_G5	11.992554	-4.1886578
1001200615_H1	21.208025	-18.934177
1001200615_H2	34.425148	-31.152615
1001200615_H3	23.546997	-17.911604
1001200615_H4	41.34483	-18.331184
1001200615_H5	27.813803	-12.977739
1001200617_A10	26.312485	-22.279852
1001200617_A11	32.140793	-16.14119
1001200617_A12	28.969713	-19.418938
1001200617_A9	-39.8124	40.71676
1001200617_B10	-30.869505	39.67257
1001200617_B11	21.809065	-22.272875
1001200617_B12	25.721148	-20.485292
1001200617_B6	-0.8185625	4.03585
1001200617_B7	25.769934	-15.714982
1001200617_B9	-41.75624	29.118696
1001200617_C11	27.742918	-13.959119
1001200617_C12	33.629692	-28.161665
1001200617_C9	29.533186	-34.436615
1001200617_D10	19.21718	-14.449122
1001200617_D11	41.27169	-10.517777
1001200617_D6	-12.720752	-10.748724
1001200617_D7	-41.9525	37.34765
1001200617_D9	31.817919	-6.722609
1001200617_E10	-21.930357	-12.104786
1001200617_E11	-44.9833	33.206894
1001200617_E6	-1.4045886	-15.017899
1001200617_E7	-10.306719	1.1943444
1001200617_E9	-32.317783	34.30819
1001200617_F10	11.427867	-17.136244
1001200617_F11	-37.138264	43.08331
1001200617_F6	8.48467	-11.091524
1001200617_F7	-4.509672	-10.254234
1001200617_F9	29.575731	-34.173702
1001200617_G10	-41.871822	-21.638382
1001200617_G6	1.1993628	-15.218047
1001200617_G7	-10.712067	-10.320081
1001200617_G9	28.81012	-35.72008
1001200617_H10	13.107778	16.5242
1001200617_H11	35.53042	-16.424559
1001200617_H7	1.5566822	-16.79128
1001200618_A1	18.915241	-16.610493
1001200618_A10	-28.784382	-12.478255
1001200618_A11	27.78858	-18.744661
1001200618_A12	-25.594305	44.116203
1001200618_A2	-36.136246	27.480022
1001200618_A3	29.831316	-31.192669
1001200618_A4	45.3257	-29.300138
1001200618_A5	-18.439611	38.241093
1001200618_A6	-18.549065	38.79435
1001200618_B1	7.186337	-21.680727
1001200618_B10	7.012127	3.2064085
1001200618_B11	20.353369	-16.987225
1001200618_B2	-42.797096	27.294859
1001200618_B3	13.772372	18.688517
1001200618_B4	-27.543007	42.902588
1001200618_B5	11.008172	20.601814
1001200618_B6	-18.528297	38.612194
1001200618_C1	28.281378	-31.954798
1001200618_C12	-17.406397	-8.994993
1001200618_C2	12.754278	18.804785
